Business Name,Category,Full Address,Distance from 30350 (miles),Website URL,Phone Number,Email,Social Media Links,ICP Score (0–100),Risk / Opportunity Level,Service Need Tier,HIPAA Sensitivity Level,Digital Presence Quality,Notes / Rationale
Family Practice at Peachtree-Dunwoody,Primary Care,"6105 Peachtree Dunwoody Road, Building C, Suite 115, Sandy Springs, GA 30328",Estimated < 10 miles,https://drhickspractice.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Village Clinic,Primary Care,"5471 Chamblee Dunwoody Rd, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodyvillageclinic.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Family Practice Center,Primary Care,"993 Johnson Ferry Rd NE, Suite 210, Atlanta, GA 30342",Estimated < 10 miles,https://familypracticecenterpc.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Wilson Family Chiropractic,Chiropractic,"1713 Mt Vernon Rd, Suite 3, Dunwoody, GA 30338",Estimated < 10 miles,https://wfc4health.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Dental Care,Dental,"1505 Mt Vernon Rd, Suite 150, Dunwoody, GA 30338",Estimated < 10 miles,https://dunwoodydentalcare.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Family & Cosmetic Dentistry,Dental,"1 Dunwoody Park, Suite 125, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodydentistry.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Pediatrics,Pediatrics,"1 Dunwoody Park, Suite 120, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodypediatrics.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Sandy Springs Pediatrics,Pediatrics,"1100 Johnson Ferry Rd NE, Suite 400, Atlanta, GA 30342",Estimated < 10 miles,https://www.sandyspringspediatrics.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Dermatology,Specialty,"1 Dunwoody Park, Suite 121, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodydermatology.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Atlanta Gastroenterology Associates,Specialty,"1140 Hammond Dr, Suite E-525, Atlanta, GA 30328",Estimated < 10 miles,https://www.atlantagastro.com/location/dunwoody/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Georgia Clinic,Specialty,"6300 Hospital Pkwy, Johns Creek, GA 30097",Estimated < 10 miles,https://gaclinicpc.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Northside Family Medicine,Primary Care,"1140 Hammond Dr, Suite E-525, Atlanta, GA 30328",Estimated < 10 miles,https://www.northside.com/locations/northside-family-medicine-dunwoody,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Back 2 Back Chiropractic,Chiropractic,"1 Dunwoody Park, Suite 124, Dunwoody, GA 30338",Estimated < 10 miles,https://b2bchiro.net/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Dunwoody Village Clinic,Primary Care,"5471 Chamblee Dunwoody Rd, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodyvillageclinic.com/,Unknown,Unknown,Unknown,100,High,High-priority outreach,High (HIPAA Regulated),Poor,Website unreachable or error; No online booking found; Weak SEO/Meta data; No social media presence
Perimeter Orthopaedics,Specialty,"5673 Peachtree Dunwoody Rd, Suite 825, Atlanta, GA 30342",Estimated < 10 miles,https://www.perimeterortho.com/,Unknown,Unknown,None,75,Moderate,Medium opportunity,High (HIPAA Regulated),Poor,No online booking found; Weak SEO/Meta data; No social media presence
Sports Rehab Center,Physical Therapy,"4 Dunwoody Park, Suite 122, Dunwoody, GA 30338",Estimated < 10 miles,https://www.sportsrehabcenter.com/locations/location_dunwoody/,Unknown,Unknown,"https://www.facebook.com/sportsrehabcenter, https://twitter.com/SportsRehabATL",65,Moderate,Medium opportunity,High (HIPAA Regulated),Fair,No online booking found; Weak SEO/Meta data
Peachtree Dunwoody Medical Associates,Primary Care,"5505 Peachtree Dunwoody Rd, Suite 460, Atlanta, GA 30342",Estimated < 10 miles,https://peachtreedunwoodymed.com/,Unknown,Unknown,None,60,Moderate,Medium opportunity,High (HIPAA Regulated),Fair,Weak SEO/Meta data; No social media presence
Dunwoody Wellness Center,Wellness,"1713 Mt Vernon Rd, Suite 4, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodywellnesscenter.com/,Unknown,Unknown,None,45,Low,Low priority,High (HIPAA Regulated),Fair,No online booking found; No social media presence
Perimeter North Family Medicine,Primary Care,Multiple locations,Estimated < 10 miles,https://www.perimeternorth.com/,Unknown,Unknown,None,45,Low,Low priority,High (HIPAA Regulated),Fair,No online booking found; No social media presence
Dunwoody Physical Therapy,Physical Therapy,"1713 Mt Vernon Rd, Suite 5, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodypt.com/,Unknown,Unknown,"https://www.facebook.com/DunwoodyPreservationTrust, https://www.instagram.com/dunwoodypt/",35,Low,Low priority,High (HIPAA Regulated),Good,No online booking found
Perimeter Clinic Atlanta,Primary Care,"3867 Peachtree Dunwoody Rd NE, Atlanta, GA 30342",Estimated < 10 miles,https://www.perimeterclinicatlanta.com/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
Active Life & Health Center,Chiropractic,"6849 Peachtree-Dunwoody Road, Building B4, Suite 100, Sandy Springs, GA 30328",Estimated < 10 miles,https://www.dunwoodychiropractic.com/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
Dunwoody Chiropractic Center,Chiropractic,"1 Dunwoody Park, Suite 124, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodychiropracticcenter.com/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
Dunwoody Urgent Care,Urgent Care,"4500 Olde Perimeter Way, Suite 100, Dunwoody, GA 30346",Estimated < 10 miles,https://www.peachtreemed.com/location/dunwoody/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
Perimeter Dental,Dental,"110 Perimeter Center Terrace, Suite 250, Dunwoody, GA 30346",Estimated < 10 miles,https://www.perimeterdental.com/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
Dunwoody OBGYN,Specialty,"1 Dunwoody Park, Suite 123, Dunwoody, GA 30338",Estimated < 10 miles,https://www.dunwoodyobgyn.com/,Unknown,Unknown,None,30,Low,Low priority,High (HIPAA Regulated),Good,No social media presence
The Whole Tooth,Dental,"1713 Mt Vernon Rd, Suite 2, Dunwoody, GA 30338",Estimated < 10 miles,https://www.wholetoothdunwoody.com/,Unknown,Unknown,"https://www.instagram.com/thewholetoothdunwoody/?hl=en, https://www.facebook.com/The-Whole-Tooth-118700923327339, https://www.facebook.com/profile.php?id=100063756382611",20,Low,Low priority,High (HIPAA Regulated),Good,Solid digital presence
Plunkett & Chaw Dental,Dental,"1713 Mt Vernon Rd, Suite 1, Dunwoody, GA 30338",Estimated < 10 miles,https://drleeplunkett.com/,Unknown,Unknown,https://www.facebook.com/plunkettchawdental,20,Low,Low priority,High (HIPAA Regulated),Good,Solid digital presence
Reagin Family Dentistry,Dental,"1370 Center Dr, Ste 101, Dunwoody, GA 30338",Estimated < 10 miles,https://www.reaginfamilydentistry.com/,Unknown,Unknown,"https://www.instagram.com/reaginfamilydentistry/, https://www.facebook.com/ReaginFamilyDentistry/",20,Low,Low priority,High (HIPAA Regulated),Good,Solid digital presence
Atlanta Total Wellness,Chiropractic,"110 Perimeter Center Terrace, Suite 100, Dunwoody, GA 30346",Estimated < 10 miles,https://www.atlantatotalwellness.com/,Unknown,Unknown,"https://www.facebook.com/pages/Atlanta-Total-Wellness/133313133373150?sk=wall, https://www.instagram.com/atlantatotalwellness/",20,Low,Low priority,High (HIPAA Regulated),Good,Solid digital presence
